Group,OrigProgram,Marker Color,Marker Icon,Icon Color,Custom Size,Image,Year,Name,Description,Location,Latitude,Longitude,Geocoded address,Street,Town,InformalTown,Zip
Operating Support,SAP,orange,,,,,2017,Connecticut Society of Portrait Artists,$367,3 Wescott Court Greenwich CT 06878,41.042435,-73.580444,"3 WESCOTT CT, RIVERSIDE, CT, 06878",3 Wescott Court,Greenwich,Riverside,6878
Operating Support,SAP,orange,,,,,2020,City of Stamford,"$5,950",888 Washington Blvd. Stamford CT 06901,41.05202,-73.54234,"888 WASHINGTON BLVD, STAMFORD, CT, 06901",888 Washington Blvd.,Stamford,Stamford,6901
Operating Support,SAP,orange,,,,,2017,Franklin Street Work Gallery,"$8,885",41 Franklin Street Stamford CT 06901-1308,41.057617,-73.54151,"41 FRANKLIN ST, STAMFORD, CT, 06901",41 Franklin Street,Stamford,Stamford,06901-1308
Operating Support,SAP,orange,,,,,2018,Franklin Street Work Gallery,"$6,409",41 Franklin Street Stamford CT 06901-1308,41.057617,-73.54151,"41 FRANKLIN ST, STAMFORD, CT, 06901",41 Franklin Street,Stamford,Stamford,06901-1308
Operating Support,SAP,orange,,,,,2019,Franklin Street Work Gallery,"$5,000",41 Franklin Street Stamford CT 06901-1308,41.057617,-73.54151,"41 FRANKLIN ST, STAMFORD, CT, 06901",41 Franklin Street,Stamford,Stamford,06901-1308
Operating Support,SAP,orange,,,,,2020,Franklin Street Work Gallery,"$5,950",41 Franklin Street Stamford CT 06901-1308,41.057617,-73.54151,"41 FRANKLIN ST, STAMFORD, CT, 06901",41 Franklin Street,Stamford,Stamford,06901-1308
Operating Support,SAP,orange,,,,,2018,Stamford Art Association,$839,39 Franklin Street Stamford CT 06901-1308,41.05752,-73.5415,"39 FRANKLIN ST, STAMFORD, CT, 06901",39 Franklin Street,Stamford,Stamford,06901-1308
Operating Support,ENDOW,orange,,,,,2017,Ballet School of Stamford^The,$500,175 Atlantic Street Stamford CT 06901-3502,41.052864,-73.539345,"175 ATLANTIC ST, STAMFORD, CT, 06901",175 Atlantic Street,Stamford,Stamford,06901-3502
Operating Support,SAP,orange,,,,,2018,Ballet School of Stamford^The,"$3,744",175 Atlantic Street Stamford CT 06901-3502,41.052864,-73.539345,"175 ATLANTIC ST, STAMFORD, CT, 06901",175 Atlantic Street,Stamford,Stamford,06901-3502
Operating Support,DirLocal,orange,,,,,2018,Stamford Center for the Arts,"$157,514",61 Atlantic Street Stamford CT 06901-2403,41.054462,-73.53928,"61 ATLANTIC ST, STAMFORD, CT, 06901",61 Atlantic Street,Stamford,Stamford,06901-2403
Operating Support,DirLocal,orange,,,,,2019,Stamford Center for the Arts,"$196,893",61 Atlantic Street Stamford CT 06901-2403,41.054462,-73.53928,"61 ATLANTIC ST, STAMFORD, CT, 06901",61 Atlantic Street,Stamford,Stamford,06901-2403
Operating Support,DirLocal,orange,,,,,2020,Stamford Center for the Arts,"$196,893",61 Atlantic Street Stamford CT 06901-2403,41.054462,-73.53928,"61 ATLANTIC ST, STAMFORD, CT, 06901",61 Atlantic Street,Stamford,Stamford,06901-2403
Operating Support,ENDOW,orange,,,,,2017,Stamford Center for the Arts,"$2,787",61 Atlantic Street Stamford CT 06901-2403,41.054462,-73.53928,"61 ATLANTIC ST, STAMFORD, CT, 06901",61 Atlantic Street,Stamford,Stamford,06901-2403
Operating Support,Mandated,orange,,,,,2017,Stamford Center for the Arts,"$196,893",61 Atlantic Street Stamford CT 06901-2403,41.054462,-73.53928,"61 ATLANTIC ST, STAMFORD, CT, 06901",61 Atlantic Street,Stamford,Stamford,06901-2403
Operating Support,ENDOW,orange,,,,,2019,Loft Artists Association,"$1,294",575 Pacific Street Stamford CT 06902-5814,41.045612,-73.53746,"575 PACIFIC ST, STAMFORD, CT, 06902",575 Pacific Street,Stamford,Stamford,06902-5814
Operating Support,SAP,orange,,,,,2018,Loft Artists Association,"$3,747",575 Pacific Street Stamford CT 06902-5814,41.045612,-73.53746,"575 PACIFIC ST, STAMFORD, CT, 06902",575 Pacific Street,Stamford,Stamford,06902-5814
Operating Support,SAP,orange,,,,,2020,Loft Artists Association,"$5,950",575 Pacific Street Stamford CT 06902-5814,41.045612,-73.53746,"575 PACIFIC ST, STAMFORD, CT, 06902",575 Pacific Street,Stamford,Stamford,06902-5814
Operating Support,ENDOW,orange,,,,,2018,Stamford Symphony Orchestra (SSO),"$9,830",263 Tresser Boulevard Stamford CT 06901-3205,41.05172,-73.535286,"263 TRESSER BLVD, STAMFORD, CT, 06901",263 Tresser Boulevard,Stamford,Stamford,06901-3205
Operating Support,ENDOW,orange,,,,,2019,Stamford Symphony Orchestra (SSO),"$12,476",263 Tresser Boulevard Stamford CT 06901-3205,41.05172,-73.535286,"263 TRESSER BLVD, STAMFORD, CT, 06901",263 Tresser Boulevard,Stamford,Stamford,06901-3205
Operating Support,ENDOW,orange,,,,,2020,Stamford Symphony Orchestra (SSO),"$8,319",263 Tresser Boulevard Stamford CT 06901-3205,41.05172,-73.535286,"263 TRESSER BLVD, STAMFORD, CT, 06901",263 Tresser Boulevard,Stamford,Stamford,06901-3205
Operating Support,SAP,orange,,,,,2017,Stamford Symphony Orchestra (SSO),"$10,474",263 Tresser Boulevard Stamford CT 06901-3205,41.05172,-73.535286,"263 TRESSER BLVD, STAMFORD, CT, 06901",263 Tresser Boulevard,Stamford,Stamford,06901-3205
Operating Support,SAP,orange,,,,,2018,Stamford Symphony Orchestra (SSO),"$13,846",263 Tresser Boulevard Stamford CT 06901-3205,41.05172,-73.535286,"263 TRESSER BLVD, STAMFORD, CT, 06901",263 Tresser Boulevard,Stamford,Stamford,06901-3205
Operating Support,ENDOW,orange,,,,,2017,Curtain Call,"$1,286",1349 Newfield Avenue Stamford CT 06905-1422,41.101772,-73.53051,"1349 NEWFIELD AVE, STAMFORD, CT, 06905",1349 Newfield Avenue,Stamford,Stamford,06905-1422
